global_step,episode_idx,ep_reward,recent_mean_top15of20,lr,entropy_coef,rollout_horizon,phase_idx
39000,38,-54.063604240283034,-29.60105757492333,5e-05,0.001,4096,0
40000,39,14.285714285713208,-25.421163395029193,5e-05,0.001,4096,0
41000,40,-63.81578947368483,-28.6508522885361,5e-05,0.001,4096,0
42000,41,-34.931506849315234,-26.92267991004439,5e-05,0.001,4096,0
43000,42,-47.36842105263216,-26.191685757997618,5e-05,0.001,4096,0
44000,43,-69.69696969696993,-26.191685757997618,5e-05,0.001,4096,0
45000,44,-57.09570957095787,-26.191685757997618,5e-05,0.001,4096,0
46000,45,-76.26112759643904,-28.26097719418355,5e-05,0.001,4096,0
47000,46,-78.41726618705012,-30.04940946206789,5e-05,0.001,4096,0
48000,47,-69.69696969696993,-32.69460002468137,5e-05,0.001,4096,0
49000,48,-75.60975609756089,-34.55567162259508,5e-05,0.001,4096,0
50000,49,-24.050632911393205,-32.27015826113237,5e-05,0.001,4096,0
51000,50,-63.08724832214842,-37.732805417035095,5e-05,0.001,4096,0
52000,51,-10.447761194030615,-36.65154505219267,5e-05,0.001,4096,0
53000,52,-61.41479099678533,-39.98637078109227,5e-05,0.001,4096,0
54000,53,-51.56695156695192,-42.0523263969877,5e-05,0.001,4096,0
55000,54,-59.10780669145062,-44.008454423909335,5e-05,0.001,4096,0
56000,55,-61.16504854369004,-44.84411519440187,5e-05,0.001,4096,0
57000,56,-35.018050541516715,-45.063524721801464,5e-05,0.001,4096,0
58000,57,-39.799331103679656,-43.243129251520436,5e-05,0.001,4096,0
59000,58,-11.042944785276338,-40.37508528785332,5e-05,0.001,4096,0
60000,59,-48.717948717949476,-44.575329488097495,5e-05,0.001,4096,0
61000,60,-66.88741721854362,-44.78010467108808,5e-05,0.001,4096,0
62000,61,-42.30769230769288,-45.27185036831326,5e-05,0.001,4096,0
63000,62,60.15625000000441,-38.10353896480415,5e-05,0.001,4096,0
64000,63,-76.80412371134005,-38.10353896480415,5e-05,0.001,4096,0
65000,64,-17.808219178082535,-35.48437293861246,5e-05,0.001,4096,0
66000,65,33.33333333333447,-28.802989568487256,5e-05,0.001,4096,0
67000,66,-51.14006514658058,-28.006510690116066,5e-05,0.001,4096,0
68000,67,-34.42622950819681,-26.2072732575435,5e-05,0.001,4096,0
69000,68,-37.93103448275905,-24.65833898681477,5e-05,0.001,4096,0
70000,69,-62.585034013606226,-27.132633362301224,5e-05,0.001,4096,0
71000,70,8.391608391608129,-22.495522899948014,5e-05,0.001,4096,0
72000,71,168.9075630252134,-10.538501285331744,5e-05,0.001,4096,0
73000,72,-26.91029900332305,-8.392000772789908,5e-05,0.001,4096,0
74000,73,-1.5873015873020948,-5.0600241074799195,5e-05,0.001,4096,0
75000,74,-11.86440677966144,-2.441646883018643,5e-05,0.001,4096,0
76000,75,33.33333333333248,3.028438587066821,5e-05,0.001,4096,0
76858,76,-102.96618705036052,2.1151120419713036,5e-05,0.001,4096,0
77858,77,19.298245614035878,6.054950489819006,5e-05,0.001,4096,0
78858,78,-53.79537953795459,3.3818091323987227,5e-05,0.001,4096,0
79858,79,-38.90675241157633,4.035888886156933,5e-05,0.001,4096,0
80858,80,46.258503401359945,10.529126789352969,5e-05,0.001,4096,0
81858,81,105.12820512820934,20.358186618413118,5e-05,0.001,4096,0
82858,82,-60.48632218845065,12.93843227530745,5e-05,0.001,4096,0
83858,83,-19.298245614035576,15.061220244143783,5e-05,0.001,4096,0
84858,84,-18.644067796610933,15.005497002908557,5e-05,0.001,4096,0
85858,85,-11.032028469751772,12.047806216036141,5e-05,0.001,4096,0
86858,86,43.302180685358586,17.5284017558318,5e-05,0.001,4096,0
87858,87,-23.547400611621505,18.25365701560349,5e-05,0.001,4096,0
88858,88,72.41379310345289,25.609978854684286,5e-05,0.001,4096,0
89858,89,-1.6393442622956298,27.29470917075278,5e-05,0.001,4096,0
90858,90,136.24595469255945,35.81833225748287,5e-05,0.001,4096,0
91858,91,-30.92105263157973,22.763808122247106,5e-05,0.001,4096,0
92858,92,-11.864406779661671,23.766867603824533,5e-05,0.001,4096,0
93858,93,36.36363636363844,26.296930133887233,5e-05,0.001,4096,0
94858,94,66.14420062696284,31.49750396099552,5e-05,0.001,4096,0
95858,95,36.84210526316063,31.731422089650728,5e-05,0.001,4096,0
96387,96,-118.96541353383473,31.731422089650728,5e-05,0.001,4096,0
97387,97,108.48056537102875,37.67691007345025,5e-05,0.001,4096,0
98387,98,-49.367088607595655,37.67691007345025,5e-05,0.001,4096,0
99387,99,-5.454545454546022,38.883100417255285,5e-05,0.001,4096,0
100387,100,58.67158671586589,39.710639304889014,5e-05,0.001,4096,0
101387,101,-56.989247311828755,31.132265588900292,5e-05,0.001,4096,0
102387,102,88.15331010453437,38.578979636644014,5e-05,0.001,4096,0
103180,103,-111.2388349514569,38.29570263680496,5e-05,0.001,4096,0
104180,104,237.97909407665912,55.40391342835629,5e-05,0.001,4096,0
105180,105,89.75903614458167,62.12331773597852,5e-05,0.001,4096,0
106180,106,-47.21407624633506,57.17510218151597,5e-05,0.001,4096,0
107180,107,68.53932584269667,63.314217278470515,5e-05,0.001,4096,0
108180,108,230.06535947712806,73.82432170338218,5e-05,0.001,4096,0
109180,109,88.81118881119352,79.85435724161479,5e-05,0.001,4096,0
110180,110,22.448979591838224,72.26789223490005,5e-05,0.001,4096,0
111180,111,183.27645051195043,86.54772577780206,5e-05,0.001,4096,0
112180,112,198.61111111111606,100.57942697052059,5e-05,0.001,4096,0
113180,113,12.62798634812226,98.99705030281949,5e-05,0.001,4096,0
114180,114,81.26888217523042,100.00536240603734,5e-05,0.001,4096,0
115180,115,-22.509225092251715,96.04860704900985,5e-05,0.001,4096,0
116180,116,60.447761194033525,101.57907280142885,5e-05,0.001,4096,0
117180,117,141.7218543046399,103.79515873033627,5e-05,0.001,4096,0
118180,118,257.69230769230563,121.33828227345971,5e-05,0.001,4096,0
119180,119,78.86178861789071,125.75386909144429,5e-05,0.001,4096,0
120180,120,57.69230769231115,125.68858382320731,5e-05,0.001,4096,0
121180,121,-34.256055363322545,125.68858382320731,5e-05,0.001,4096,0
122180,122,-28.825622775801488,120.65356223944649,5e-05,0.001,4096,0
123180,123,60.000000000003766,123.81169648290526,5e-05,0.001,4096,0
124180,124,-25.925925925926627,108.7882893010028,5e-05,0.001,4096,0
125180,125,161.90476190476681,113.59800435168181,5e-05,0.001,4096,0
126180,126,9.022556390976643,113.59800435168181,5e-05,0.001,4096,0
127180,127,454.6874999999917,139.34121596216812,5e-05,0.001,4096,0
128180,128,32.013201320134385,126.13773875170189,5e-05,0.001,4096,0
129180,129,60.305343511454915,124.23734906505267,5e-05,0.001,4096,0
130180,130,126.27737226277884,131.15924190978203,5e-05,0.001,4096,0
131180,131,193.9189189189231,131.8687398035802,5e-05,0.001,4096,0
132180,132,-19.614147909968526,119.22950282223759,5e-05,0.001,4096,0
133180,133,200.00000000000355,131.72097039902965,5e-05,0.001,4096,0
134180,134,73.745173745177,131.2193898370261,5e-05,0.001,4096,0
135180,135,145.9016393442673,140.34466203391216,5e-05,0.001,4096,0
136180,136,145.39877300613915,146.00806282138586,5e-05,0.001,4096,0
137180,137,560.4477611940204,173.92312328067788,5e-05,0.001,4096,0
138180,138,46.179401993358326,159.8222629007481,5e-05,0.001,4096,0
139180,139,228.90365448505503,169.82505395855904,5e-05,0.001,4096,0
140180,140,33.33333333333329,168.20112233462717,5e-05,0.001,4096,0
141180,141,326.79127725855903,187.85299406385548,5e-05,0.001,4096,0
142180,142,119.59459459459899,193.60374481460653,5e-05,0.001,4096,0
143180,143,476.1316872427934,221.34585729745916,5e-05,0.001,4096,0
144180,144,249.82332155476206,234.92211860155277,5e-05,0.001,4096,0
145180,145,519.0476190476097,258.7316424110756,5e-05,0.001,4096,0
146180,146,18.421052631578448,258.7316424110756,5e-05,0.001,4096,0
147180,147,83.39100346021164,233.97854264175695,5e-05,0.001,4096,0
148180,148,290.243902439021,249.30777990359468,5e-05,0.001,4096,0
149180,149,366.4536741213956,268.8216799286759,5e-05,0.001,4096,0
150180,150,326.62116040955476,282.17793247179435,5e-05,0.001,4096,0
151180,151,186.95652173913504,281.71377265980846,5e-05,0.001,4096,0
152051,152,-2.88447653429202,281.71377265980846,5e-05,0.001,4096,0
153051,153,738.1742738589096,317.5920575837355,5e-05,0.001,4096,0
154051,154,200.31948881789643,325.3872899409145,5e-05,0.001,4096,0
155051,155,363.1578947368341,339.87104030041894,5e-05,0.001,4096,0
156051,156,603.1802120141207,370.3898029009511,5e-05,0.001,4096,0
157051,157,645.6445993031228,376.0695921082245,5e-05,0.001,4096,0
158051,158,745.614035087704,417.8042214744316,5e-05,0.001,4096,0
159051,159,64.12213740458516,410.5169508150678,5e-05,0.001,4096,0
160051,160,201.8292682926865,415.99926239494033,5e-05,0.001,4096,0
161051,161,319.04761904760676,415.48301851421013,5e-05,0.001,4096,0
162051,162,44.000000000003666,415.48301851421013,5e-05,0.001,4096,0
163051,163,313.6690647481866,404.65217701456976,5e-05,0.001,4096,0
164051,164,148.46625766871594,397.89503942216663,5e-05,0.001,4096,0
165051,165,590.2356902356805,402.64091083470464,5e-05,0.001,4096,0
166051,166,118.75000000000531,402.64091083470464,5e-05,0.001,4096,0
167051,167,501.4760147601371,426.17489464079944,5e-05,0.001,4096,0
168051,168,726.989619377154,455.2912757700083,5e-05,0.001,4096,0
169051,169,384.0989399293254,456.46762682387026,5e-05,0.001,4096,0
170051,170,248.92086330934418,451.2876070171896,5e-05,0.001,4096,0
171051,171,235.66433566432733,454.53479461220246,5e-05,0.001,4096,0
172051,172,90.63545150502199,454.53479461220246,5e-05,0.001,4096,0
173051,173,45.63106796116854,415.2209268661895,5e-05,0.001,4096,0
174051,174,114.03508771930296,409.7829609449967,5e-05,0.001,4096,0
175051,175,259.9999999999978,402.905767962541,5e-05,0.001,4096,0
176051,176,461.3382899628238,393.44963982578787,5e-05,0.001,4096,0
177051,177,248.12286689420276,366.9481909985265,5e-05,0.001,4096,0
178051,178,532.7272727272591,352.7557401744969,5e-05,0.001,4096,0
178431,179,21.795817490495864,352.7557401744969,5e-05,0.001,4096,0
179431,180,338.48580441638984,361.86617591607705,5e-05,0.001,4096,0
180431,181,533.0935251798437,376.13590299155953,5e-05,0.001,4096,0
181431,182,579.0540540540377,406.82283992849506,5e-05,0.001,4096,0
182431,183,299.3610223642024,405.86897043622946,5e-05,0.001,4096,0
183431,184,460.606060606046,426.6782906320514,5e-05,0.001,4096,0
184431,185,139.48220064725407,396.628057992823,5e-05,0.001,4096,0
185431,186,267.2131147540859,405.14345226661186,5e-05,0.001,4096,0
186431,187,422.38805970148263,399.87092192936814,5e-05,0.001,4096,0
186708,188,17.18114478114569,360.70376068070817,5e-05,0.001,4096,0
187708,189,118.04511278196014,342.96683887088386,5e-05,0.001,4096,0
188708,190,207.14285714286237,340.18163845978506,5e-05,0.001,4096,0
189270,191,19.08248175182723,332.07302193011674,5e-05,0.001,4096,0
190270,192,210.34482758621039,338.49367125457724,5e-05,0.001,4096,0
191270,193,344.82758620688423,353.6125028162388,5e-05,0.001,4096,0
192270,194,514.5833333333184,378.61924499530977,5e-05,0.001,4096,0
193190,195,-98.04886731391548,370.58472503846025,5e-05,0.001,4096,0
194190,196,86.2745098039256,347.69851322640267,5e-05,0.001,4096,0
195190,197,178.78787878788384,343.07618068598134,5e-05,0.001,4096,0
195585,198,27.83549488054777,313.3126631577591,5e-05,0.001,4096,0
196585,199,458.13953488370646,338.10366482974456,5e-05,0.001,4096,0
197585,200,458.64197530862907,346.11407622256047,5e-05,0.001,4096,0
198585,201,552.1739130434631,347.3861020801351,5e-05,0.001,4096,0
199585,202,551.3157894736696,345.53688444144393,5e-05,0.001,4096,0
200585,203,634.9823321554705,367.91163842752843,5e-05,0.001,4096,0
201585,204,139.20265780731404,346.484744907613,5e-05,0.001,4096,0
202531,205,63.025083612045194,342.93756551805774,5e-05,0.001,4096,0
203340,206,106.94928774929204,332.25331038440487,5e-05,0.001,4096,0
204340,207,234.4947735191526,319.7270913055828,5e-05,0.001,4096,0
205340,208,279.08496732024554,332.58112180667086,5e-05,0.001,4096,0
206340,209,117.94871794872299,332.57469548445505,5e-05,0.001,4096,0
207340,210,271.4285714285553,336.8604097701679,5e-05,0.001,4096,0
208340,211,94.34628975265517,336.8604097701679,5e-05,0.001,4096,0
209340,212,421.08433734938365,350.9097104210461,5e-05,0.001,4096,0
210340,213,495.66787003608374,360.96572934299274,5e-05,0.001,4096,0
211340,214,21.710526315791434,332.9499264376152,5e-05,0.001,4096,0
212340,215,246.2783171520897,343.07872826424415,5e-05,0.001,4096,0
213324,216,206.5442906574234,349.71839512478624,5e-05,0.001,4096,0
214324,217,416.9811320754659,365.5979453439584,5e-05,0.001,4096,0
215324,218,229.26829268293068,373.0192503262389,5e-05,0.001,4096,0
216324,219,192.929292929297,355.3385675292783,5e-05,0.001,4096,0
217324,220,287.9003558718846,343.95579290016195,5e-05,0.001,4096,0
218324,221,49.53271028037789,315.0074465605126,5e-05,0.001,4096,0
219324,222,284.89208633091994,297.245866350996,5e-05,0.001,4096,0
220314,223,258.33684210524643,272.13616701431437,5e-05,0.001,4096,0
221314,224,237.66233766234114,278.70014567131614,5e-05,0.001,4096,0
222314,225,246.27831715208953,287.25545228487397,5e-05,0.001,4096,0
223314,226,240.6593406593276,290.437455466876,5e-05,0.001,4096,0
224314,227,249.8349834983356,291.46013613215484,5e-05,0.001,4096,0
225314,228,313.1944444444401,293.7341012737678,5e-05,0.001,4096,0
226314,229,634.6153846153675,322.2721742042974,5e-05,0.001,4096,0
227314,230,249.62406015038118,320.8185401190858,5e-05,0.001,4096,0
228314,231,225.08833922261545,320.8185401190858,5e-05,0.001,4096,0
229314,232,244.82758620690117,309.06809004292035,5e-05,0.001,4096,0
230314,233,125.49019607843636,291.0294546553558,5e-05,0.001,4096,0
231314,234,244.48160535115767,292.32233906392526,5e-05,0.001,4096,0
232314,235,132.55813953488885,290.90967386862695,5e-05,0.001,4096,0
233314,236,176.5957446808565,290.90967386862695,5e-05,0.001,4096,0
234314,237,66.6666666666716,275.9728845922157,5e-05,0.001,4096,0
235314,238,58.78378378378837,272.46138139207744,5e-05,0.001,4096,0
236314,239,269.17562724012635,277.5444703461327,5e-05,0.001,4096,0
237314,240,330.5084745762661,280.3850115930915,5e-05,0.001,4096,0
238314,241,286.98630136984673,287.7443820390242,5e-05,0.001,4096,0
239314,242,428.2258064515972,297.2999633804027,5e-05,0.001,4096,0
240314,243,377.5641025640878,305.24844741099207,5e-05,0.001,4096,0
241314,244,337.0860927152245,311.8766977478509,5e-05,0.001,4096,0
242314,245,294.23076923075456,315.0735278864286,5e-05,0.001,4096,0
243314,246,8.527131782947036,310.80262148786386,5e-05,0.001,4096,0
244314,247,112.90322580645638,302.9841652236341,5e-05,0.001,4096,0
245314,248,323.45276872963217,303.6680535093136,5e-05,0.001,4096,0
246314,249,204.20711974109884,274.9741691843623,5e-05,0.001,4096,0
247314,250,190.62500000000233,271.0408985076704,5e-05,0.001,4096,0
248314,251,80.21201413428062,264.4010222980585,5e-05,0.001,4096,0
249314,252,193.91891891892018,261.00711114552644,5e-05,0.001,4096,0
250314,253,377.66323024053423,277.81864675633295,5e-05,0.001,4096,0
251314,254,560.377358490548,298.8783636322923,5e-05,0.001,4096,0
252314,255,81.15942028985995,297.56803605039676,5e-05,0.001,4096,0
253314,256,150.00000000000503,295.7949864050067,5e-05,0.001,4096,0
254314,257,111.0726643598635,295.7949864050067,5e-05,0.001,4096,0
255314,258,1.694915254238186,295.7949864050067,5e-05,0.001,4096,0
256314,259,71.92982456140845,285.25478887965585,5e-05,0.001,4096,0
257314,260,195.4545454545463,276.25119360487446,5e-05,0.001,4096,0
258314,261,78.08219178082689,262.5294015328754,5e-05,0.001,4096,0
259314,262,241.36546184738782,250.0720452259281,5e-05,0.001,4096,0
260314,263,94.24460431655189,231.18407867609235,5e-05,0.001,4096,0
261314,264,73.01038062284229,214.05914010402947,5e-05,0.001,4096,0
262314,265,184.84848484848996,206.7669878118785,5e-05,0.001,4096,0
263314,266,69.61130742049963,206.7669878118785,5e-05,0.001,4096,0
264314,267,39.204545454548736,204.44558554350317,5e-05,0.001,4096,0
265314,268,100.00000000000495,189.54873429486136,5e-05,0.001,4096,0
266314,269,112.12121212121721,183.40967378686926,5e-05,0.001,4096,0
267314,270,117.39130434783087,178.52742741005784,5e-05,0.001,4096,0
268314,271,255.4006968640944,190.20667292537874,5e-05,0.001,4096,0
269314,272,187.71929824561582,189.7933648804918,5e-05,0.001,4096,0
270314,273,293.74999999998346,184.19914953112175,5e-05,0.001,4096,0
271314,274,241.8181818181818,162.96187108629732,5e-05,0.001,4096,0
272314,275,277.77777777776146,176.06976158549074,5e-05,0.001,4096,0
273314,276,71.42857142857656,170.93712029367992,5e-05,0.001,4096,0
274314,277,14.478114478116069,168.3275976404496,5e-05,0.001,4096,0
275314,278,82.15613382900139,169.00935159162242,5e-05,0.001,4096,0
276314,279,65.60509554140637,169.00935159162242,5e-05,0.001,4096,0
277314,280,100.0000000000052,162.64571522798636,5e-05,0.001,4096,0
278314,281,20.27491408934874,162.20214053783633,5e-05,0.001,4096,0
279314,282,71.64179104478117,150.8872291509959,5e-05,0.001,4096,0
280314,283,17.834394904460424,149.24500935792577,5e-05,0.001,4096,0
281314,284,237.16475095784202,160.18863404692573,5e-05,0.001,4096,0
282314,285,197.02970297030117,161.0007152550465,5e-05,0.001,4096,0
283314,286,201.36986301369674,169.7846189612596,5e-05,0.001,4096,0
284314,287,152.49169435216479,175.1888271561655,5e-05,0.001,4096,0
285314,288,495.50561797751163,201.55586835466596,5e-05,0.001,4096,0
286314,289,50.470219435740745,198.84302564182323,5e-05,0.001,4096,0
287314,290,-4.436860068258813,195.39061172139495,5e-05,0.001,4096,0
288314,291,291.1564625850178,197.77432943612314,5e-05,0.001,4096,0
289314,292,11.111111111112601,188.62439084879816,5e-05,0.001,4096,0
290314,293,102.16606498195429,175.8521285142629,5e-05,0.001,4096,0
291314,294,44.82758620690032,162.71942214017744,5e-05,0.001,4096,0
292314,295,78.57142857143384,149.4389988597556,5e-05,0.001,4096,0
293314,296,619.8581560283529,186.00097116640737,5e-05,0.001,4096,0
294314,297,239.10034602076405,198.9524884873316,5e-05,0.001,4096,0
295314,298,302.68456375837326,213.6543838159564,5e-05,0.001,4096,0
296314,299,541.5094339622597,245.38133971067995,5e-05,0.001,4096,0
297314,300,266.78200692041514,256.50014017204063,5e-05,0.001,4096,0
298314,301,325.0871080139319,274.80793274392005,5e-05,0.001,4096,0
299314,302,683.9721254355228,315.6299550366361,5e-05,0.001,4096,0
300314,303,206.27306273063212,324.14339731391607,5e-05,0.001,4096,0
301314,304,204.84330484331016,321.9886342396139,5e-05,0.001,4096,0
302314,305,107.14285714286237,315.996177851118,5e-05,0.001,4096,0
303314,306,363.76811594202456,326.8227280463398,5e-05,0.001,4096,0
304314,307,226.40949554896673,331.75058145945997,5e-05,0.001,4096,0
305314,308,278.98089171972913,317.3155997089411,5e-05,0.001,4096,0
306314,309,280.19169329072395,329.1839749295258,5e-05,0.001,4096,0
307314,310,76.05633802817414,329.1839749295258,5e-05,0.001,4096,0
308314,311,432.8467153284515,338.6299917790881,5e-05,0.001,4096,0
309314,312,204.21686746988112,345.1015924675559,5e-05,0.001,4096,0
310314,313,488.2352941176326,364.0361542440727,5e-05,0.001,4096,0
311314,314,211.1111111111073,364.4540079952592,5e-05,0.001,4096,0
312302,315,185.91538461537215,364.4540079952592,5e-05,0.001,4096,0
313302,316,639.7769516728454,365.781927704892,5e-05,0.001,4096,0
314302,317,475.43859649121373,381.53781106958866,5e-05,0.001,4096,0
315302,318,531.3993174061287,396.7854613127723,5e-05,0.001,4096,0
316302,319,81.46718146718663,374.3410527048424,5e-05,0.001,4096,0
317302,320,264.82084690552136,374.2103087038495,5e-05,0.001,4096,0
318302,321,77.93594306050326,366.15229266757945,5e-05,0.001,4096,0
319302,322,333.566433566418,342.7919132096391,5e-05,0.001,4096,0
320302,323,198.65771812080487,342.284223568984,5e-05,0.001,4096,0
321302,324,280.9523809523747,347.35816197625496,5e-05,0.001,4096,0
322302,325,268.2432432432273,351.9971969844164,5e-05,0.001,4096,0
323302,326,-3.6544850498332995,340.98983712966844,5e-05,0.001,4096,0
324302,327,603.9473684210352,366.159028654473,5e-05,0.001,4096,0
325302,328,95.57195571956223,359.95466151418253,5e-05,0.001,4096,0
326302,329,182.1316614420115,353.4173260576017,5e-05,0.001,4096,0
327302,330,224.41471571905652,356.2361963427381,5e-05,0.001,4096,0
328302,331,193.33333333333545,340.2686375430637,5e-05,0.001,4096,0
329302,332,429.18287937742076,355.2663716702329,5e-05,0.001,4096,0
330302,333,366.9117647058663,347.1781363761152,5e-05,0.001,4096,0
331302,334,127.40524781341605,345.24617306484214,5e-05,0.001,4096,0
332302,335,250.87719298245656,349.5769602893144,5e-05,0.001,4096,0
333302,336,505.0724637681026,340.5966610956649,5e-05,0.001,4096,0
334302,337,251.61290322579197,325.67494821130344,5e-05,0.001,4096,0
335302,338,292.49146757677454,309.74775822267986,5e-05,0.001,4096,0
336302,339,589.8954703832591,336.9320121520963,5e-05,0.001,4096,0
337302,340,624.7386759581719,360.9265340889397,5e-05,0.001,4096,0
338302,341,117.24137931034963,360.9265340889397,5e-05,0.001,4096,0
339302,342,149.2012779552766,350.83088261397927,5e-05,0.001,4096,0
340302,343,92.43986254296021,347.5337866029441,5e-05,0.001,4096,0
341302,344,323.0769230769084,350.34208941124626,5e-05,0.001,4096,0
342302,345,392.30769230768885,358.6130526822104,5e-05,0.001,4096,0
343302,346,464.28571428570643,379.61868177090577,5e-05,0.001,4096,0
344302,347,244.05144694532515,355.6256203391917,5e-05,0.001,4096,0
345060,348,29.907476635517696,355.6256203391917,5e-05,0.001,4096,0
346060,349,302.5559105431158,363.6539036125987,5e-05,0.001,4096,0
346339,350,40.782375478928,358.63967442834667,5e-05,0.001,4096,0
347339,351,725.783972125419,394.13638368115227,5e-05,0.001,4096,0
348339,352,381.04956268220195,390.927495901471,5e-05,0.001,4096,0
349339,353,570.9677419354746,404.53122771677823,5e-05,0.001,4096,0
350339,354,527.2401433691641,429.73381874437075,5e-05,0.001,4096,0
351339,355,307.0175438596318,433.4765088028491,5e-05,0.001,4096,0
352339,356,237.14285714285612,415.6145350278327,5e-05,0.001,4096,0
353339,357,859.3220338982898,456.1284770726659,5e-05,0.001,4096,0
354339,358,290.1734104046082,455.97393992785476,5e-05,0.001,4096,0
355339,359,137.03703703704218,426.5943270993226,5e-05,0.001,4096,0
356339,360,415.9420289854992,412.6745506344777,5e-05,0.001,4096,0
357339,361,445.80152671754325,432.44790055196216,5e-05,0.001,4096,0
358339,362,259.6214511040959,433.9464734827115,5e-05,0.001,4096,0
359339,363,565.5629139072705,455.3805712801745,5e-05,0.001,4096,0
360339,364,288.69257950528424,453.0882817087329,5e-05,0.001,4096,0
361339,365,223.74100719423714,443.20453201790866,5e-05,0.001,4096,0
362339,366,748.2758620689469,462.1372085367914,5e-05,0.001,4096,0
363339,367,631.2252964426773,487.94879850328147,5e-05,0.001,4096,0
364339,368,310.09463722395776,491.313677577939,5e-05,0.001,4096,0
365339,369,352.4590163934269,494.64055130129304,5e-05,0.001,4096,0
366339,370,180.0000000000052,494.64055130129304,5e-05,0.001,4096,0
367339,371,52.82392026578489,463.5630498998715,5e-05,0.001,4096,0
368339,372,396.4285714285545,464.5883171496283,5e-05,0.001,4096,0
369339,373,367.7966101694794,451.04357503189533,5e-05,0.001,4096,0
370339,374,517.5548589341539,450.3978894028947,5e-05,0.001,4096,0
371339,375,862.8252788103928,487.451738399612,5e-05,0.001,4096,0
372339,376,669.9386503067394,514.8062183464549,5e-05,0.001,4096,0
373339,377,726.7973856208965,505.9712417946287,5e-05,0.001,4096,0
374339,378,257.61589403971936,503.9344445079279,5e-05,0.001,4096,0
375339,379,560.0660066006498,523.9640815410315,5e-05,0.001,4096,0
376339,380,259.861591695486,513.5587190550307,5e-05,0.001,4096,0
377339,381,830.921052631562,539.2333541159652,5e-05,0.001,4096,0
378339,382,698.6348122866729,568.4849021553777,5e-05,0.001,4096,0
379339,383,867.4796747967371,588.6126862146755,5e-05,0.001,4096,0
379813,384,231.5819875776357,586.6906203606889,5e-05,0.001,4096,0
380813,385,855.1724137930856,626.3780085005288,5e-05,0.001,4096,0
381813,386,671.2177121771101,621.2407985077397,5e-05,0.001,4096,0
382813,387,816.3763066201927,633.5841991862407,5e-05,0.001,4096,0
383813,388,469.4444444444288,644.2075196676054,5e-05,0.001,4096,0
384813,389,859.9999999999827,678.0435852413759,5e-05,0.001,4096,0
385813,390,849.6855345911763,710.1695135361556,5e-05,0.001,4096,0
386813,391,416.4473684210365,711.5041000023211,5e-05,0.001,4096,0
